timestamp_local,msg_type,obs_count,frame_id,timestamp_sec,proc_time_ms,fps,points_in,points_out,is_running,lidar_connected,error_code
2026-01-29 13:47:23.277,lidar_obstacles,1,6432,1769665643.2754,,,,,,,
2026-01-29 13:47:25.280,lidar_obstacles,1,6452,1769665645.2788,,,,,,,
2026-01-29 13:47:27.283,lidar_obstacles,2,6472,1769665647.2809,,,,,,,
2026-01-29 13:47:29.285,lidar_obstacles,9,6492,1769665649.2843,,,,,,,
2026-01-29 13:47:31.289,lidar_obstacles,4,6512,1769665651.2873,,,,,,,
2026-01-29 13:47:31.291,lidar_status,,,,,,,,0,0,0
2026-01-29 13:47:33.293,lidar_obstacles,5,6532,1769665653.2911,,,,,,,
2026-01-29 13:47:35.296,lidar_obstacles,5,6552,1769665655.2949,,,,,,,
2026-01-29 13:47:37.301,lidar_obstacles,5,6572,1769665657.2985,,,,,,,
2026-01-29 13:47:39.305,lidar_obstacles,3,6593,1769665659.3016,,,,,,,
2026-01-29 13:47:41.308,lidar_obstacles,8,6613,1769665661.3066,,,,,,,
2026-01-29 13:47:41.310,lidar_status,,,,,,,,0,0,0
2026-01-29 13:47:41.312,lidar_performance,,,,0.00,0.00,0,0,,,
2026-01-29 13:47:43.313,lidar_obstacles,6,6633,1769665663.3109,,,,,,,
2026-01-29 13:47:45.316,lidar_obstacles,2,6653,1769665665.3149,,,,,,,
2026-01-29 13:47:47.318,lidar_obstacles,2,6673,1769665667.3170,,,,,,,
2026-01-29 13:47:49.324,lidar_obstacles,3,6693,1769665669.3208,,,,,,,
2026-01-29 13:47:51.325,lidar_obstacles,8,6713,1769665671.3239,,,,,,,
2026-01-29 13:47:51.329,lidar_status,,,,,,,,0,0,0
2026-01-29 13:47:53.355,lidar_obstacles,6,6733,1769665673.3296,,,,,,,
2026-01-29 13:47:55.840,lidar_obstacles,4,6753,1769665675.3718,,,,,,,
2026-01-29 13:47:58.305,lidar_obstacles,3,6776,1769665677.6974,,,,,,,
2026-01-29 13:48:01.042,lidar_obstacles,5,6801,1769665680.1609,,,,,,,
2026-01-29 13:48:02.920,lidar_obstacles,7,6827,1769665682.7342,,,,,,,
2026-01-29 13:48:02.945,lidar_status,,,,,,,,0,0,0
2026-01-29 13:48:03.173,lidar_performance,,,,0.00,0.00,0,0,,,
2026-01-29 13:48:05.444,lidar_obstacles,1,6849,1769665684.9249,,,,,,,
2026-01-29 13:48:07.485,lidar_obstacles,6,6872,1769665687.2505,,,,,,,
2026-01-29 13:48:09.456,lidar_obstacles,9,6894,1769665689.4550,,,,,,,
2026-01-29 13:48:11.549,lidar_obstacles,7,6914,1769665691.4697,,,,,,,
2026-01-29 13:48:13.549,lidar_obstacles,3,6935,1769665693.5449,,,,,,,
2026-01-29 13:48:13.567,lidar_status,,,,,,,,0,0,0
2026-01-29 13:48:15.609,lidar_obstacles,9,6955,1769665695.5634,,,,,,,
2026-01-29 13:48:17.656,lidar_obstacles,10,6976,1769665697.6450,,,,,,,
2026-01-29 13:48:19.813,lidar_obstacles,9,6996,1769665699.6841,,,,,,,
2026-01-29 13:48:22.103,lidar_obstacles,10,7018,1769665701.8219,,,,,,,
2026-01-29 13:48:24.080,lidar_obstacles,6,7040,1769665704.0763,,,,,,,
2026-01-29 13:48:24.103,lidar_status,,,,,,,,0,0,0
2026-01-29 13:48:24.105,lidar_performance,,,,0.00,0.00,0,0,,,
2026-01-29 13:48:26.102,lidar_obstacles,10,7061,1769665706.1000,,,,,,,
2026-01-29 13:48:28.161,lidar_obstacles,0,7081,1769665708.1596,,,,,,,
2026-01-29 13:48:30.166,lidar_obstacles,9,7101,1769665710.1611,,,,,,,
2026-01-29 13:48:32.178,lidar_obstacles,2,7121,1769665712.1707,,,,,,,
2026-01-29 13:48:34.180,lidar_obstacles,2,7141,1769665714.1766,,,,,,,
2026-01-29 13:48:34.185,lidar_status,,,,,,,,0,0,0
2026-01-29 13:48:36.377,lidar_obstacles,2,7161,1769665716.1842,,,,,,,
2026-01-29 13:48:38.278,lidar_obstacles,7,7182,1769665718.2608,,,,,,,
2026-01-29 13:48:40.473,lidar_obstacles,0,7204,1769665720.4701,,,,,,,
2026-01-29 13:48:42.478,lidar_obstacles,10,7224,1769665722.4730,,,,,,,
2026-01-29 13:48:44.484,lidar_obstacles,6,7244,1769665724.4834,,,,,,,
2026-01-29 13:48:44.487,lidar_status,,,,,,,,0,0,0
2026-01-29 13:48:44.489,lidar_performance,,,,0.00,0.00,0,0,,,
2026-01-29 13:48:46.492,lidar_obstacles,1,7264,1769665726.4874,,,,,,,
2026-01-29 13:48:48.498,lidar_obstacles,8,7284,1769665728.4940,,,,,,,
2026-01-29 13:48:50.509,lidar_obstacles,3,7305,1769665730.5072,,,,,,,
2026-01-29 13:48:52.513,lidar_obstacles,2,7325,1769665732.5111,,,,,,,
2026-01-29 13:48:54.516,lidar_obstacles,6,7345,1769665734.5145,,,,,,,
2026-01-29 13:48:54.518,lidar_status,,,,,,,,0,0,0
